feature,importance
cat__borough_1,0.0518155
cat__borough_2,0.033985797
cat__building_class_08 RENTALS - ELEVATOR APARTMENTS,0.033342134
cat__borough_3,0.030499788
cat__borough_5,0.027047496
cat__neighborhood_MORRISANIA/LONGWOOD,0.026564104
cat__borough_4,0.024131613
cat__neighborhood_SOUNDVIEW,0.016700653
num__gross_sqft,0.014019185
cat__neighborhood_MIDDLE VILLAGE,0.013903969
cat__neighborhood_HARLEM-EAST,0.013422311
cat__neighborhood_HARLEM-UPPER,0.012988205
cat__neighborhood_PARK SLOPE,0.012827634
cat__neighborhood_EAST VILLAGE,0.012655089
cat__neighborhood_ELMHURST,0.012651586
num__longitude,0.011587718
cat__neighborhood_CANARSIE,0.01155585
num__latitude,0.0112625575
cat__neighborhood_OCEAN PARKWAY-NORTH,0.010533571
cat__neighborhood_JACKSON HEIGHTS,0.010517229
cat__neighborhood_ST. ALBANS,0.010507771
cat__neighborhood_EAST NEW YORK,0.010148317
cat__neighborhood_CHELSEA,0.010029222
cat__neighborhood_BROOKLYN HEIGHTS,0.009886354
cat__building_class_01 ONE FAMILY DWELLINGS,0.009474836
cat__neighborhood_HARLEM-CENTRAL,0.009467674
cat__neighborhood_BUSHWICK,0.0093550235
cat__neighborhood_FLUSHING-NORTH,0.00927977
cat__neighborhood_NEW DORP,0.009253724
cat__neighborhood_SPRINGFIELD GARDENS,0.009196192
cat__neighborhood_FLATLANDS,0.008935248
cat__neighborhood_BOROUGH PARK,0.00885913
cat__neighborhood_BEDFORD STUYVESANT,0.0077989665
cat__neighborhood_FLATBUSH-LEFFERTS GARDEN,0.007642221
cat__neighborhood_UPPER EAST SIDE (79-96),0.007244424
cat__neighborhood_LAURELTON,0.0071988273
cat__neighborhood_FLATBUSH-EAST,0.0069267615
cat__neighborhood_ROCKAWAY PARK,0.0067461077
cat__neighborhood_GREENWICH VILLAGE-WEST,0.0066903154
cat__neighborhood_MELROSE/CONCOURSE,0.0066037523
cat__neighborhood_FOREST HILLS,0.0064527453
cat__neighborhood_GREENPOINT,0.0063613746
cat__neighborhood_CYPRESS HILLS,0.0063171033
cat__neighborhood_BRIARWOOD,0.006170324
cat__neighborhood_SUNSET PARK,0.0058880793
cat__neighborhood_OCEAN PARKWAY-SOUTH,0.005879888
cat__neighborhood_MADISON,0.0058286143
num__land_sqft,0.005744119
cat__neighborhood_JAMAICA ESTATES,0.005725439
cat__neighborhood_SEAGATE,0.0056334715
cat__neighborhood_ASTORIA,0.0054972316
cat__neighborhood_HOLLIS,0.005449905
cat__neighborhood_BEDFORD PARK/NORWOOD,0.0054466915
cat__neighborhood_WASHINGTON HEIGHTS LOWER,0.0054254765
cat__neighborhood_WEST NEW BRIGHTON,0.0054104445
cat__neighborhood_HARLEM-WEST,0.0053787734
cat__neighborhood_INWOOD,0.005337191
cat__neighborhood_WILLIAMSBURG-EAST,0.005314425
cat__neighborhood_MOTT HAVEN/PORT MORRIS,0.005238592
cat__neighborhood_FLATBUSH-NORTH,0.005150057
num__year_built,0.0050780997
cat__neighborhood_BOERUM HILL,0.005061934
cat__neighborhood_PROSPECT HEIGHTS,0.004981324
cat__neighborhood_UPPER EAST SIDE (59-79),0.0048790746
cat__neighborhood_FAR ROCKAWAY,0.004764001
cat__neighborhood_COBBLE HILL,0.0047342507
cat__neighborhood_ROSEBANK,0.004714715
cat__neighborhood_HIGHBRIDGE/MORRIS HEIGHTS,0.004557833
cat__neighborhood_NEW BRIGHTON,0.004556888
cat__neighborhood_WILLIAMSBURG-SOUTH,0.0045390096
cat__neighborhood_WINDSOR TERRACE,0.004486745
cat__neighborhood_HAMMELS,0.0044339686
cat__neighborhood_MANOR HEIGHTS,0.0041725803
cat__neighborhood_KINGSBRIDGE HTS/UNIV HTS,0.004148371
cat__building_class_07 RENTALS - WALKUP APARTMENTS,0.004130479
cat__neighborhood_GRAVESEND,0.004077696
num__property_age,0.0040636477
cat__neighborhood_TOTTENVILLE,0.004010376
cat__neighborhood_WOODHAVEN,0.0040083914
cat__neighborhood_MILL BASIN,0.0038256967
cat__neighborhood_BAYSIDE,0.0037054576
cat__neighborhood_PARK SLOPE SOUTH,0.0036892493
cat__neighborhood_SOUTH JAMAICA,0.0036872688
cat__neighborhood_ALPHABET CITY,0.003618806
cat__neighborhood_OLD MILL BASIN,0.0035394093
cat__neighborhood_RIVERDALE,0.003504866
cat__neighborhood_DYKER HEIGHTS,0.003504163
cat__neighborhood_CONEY ISLAND,0.0034912403
cat__neighborhood_FLATBUSH-CENTRAL,0.0034790363
cat__neighborhood_BELLE HARBOR,0.003471119
cat__neighborhood_QUEENS VILLAGE,0.0034344601
cat__neighborhood_GOWANUS,0.0034167017
cat__neighborhood_LOWER EAST SIDE,0.0033856777
cat__neighborhood_RIDGEWOOD,0.0033379418
cat__neighborhood_MOUNT HOPE/MOUNT EDEN,0.0032267647
cat__neighborhood_CLINTON,0.0032182175
cat__neighborhood_STAPLETON-CLIFTON,0.0031470465
cat__neighborhood_LITTLE ITALY,0.0031334006
cat__neighborhood_GREENWICH VILLAGE-CENTRAL,0.0030390315
cat__neighborhood_CROWN HEIGHTS,0.0030383416
cat__neighborhood_JAMAICA,0.0030034722
cat__neighborhood_BAYCHESTER,0.002835952
