feature,importance
num__neighborhood_median_price,0.13567246
cat__neighborhood_COLLEGE POINT,0.07435026
cat__neighborhood_WASHINGTON HEIGHTS LOWER,0.06717105
cat__neighborhood_DOWNTOWN-FULTON MALL,0.04475347
num__dof_assess_per_unit,0.036716297
cat__borough_name_Manhattan,0.033972282
num__pluto_longitude,0.029883636
cat__neighborhood_WASHINGTON HEIGHTS UPPER,0.02171889
cat__neighborhood_LONG ISLAND CITY,0.01923833
cat__neighborhood_CHELSEA,0.01752796
num__acris_last_deed_amt,0.016126754
cat__pluto_bldgclass_C6,0.015284724
cat__neighborhood_WOODSIDE,0.013763962
cat__dof_tax_class_2,0.012720446
cat__borough_name_Brooklyn,0.01085425
cat__dof_bldg_class_R4,0.010661092
cat__neighborhood_DOWNTOWN-FULTON FERRY,0.010213542
cat__neighborhood_HARLEM-UPPER,0.009959994
cat__neighborhood_RED HOOK,0.009867737
cat__dof_bldg_class_R9,0.009720413
num__acris_prior_sale_cnt,0.009550594
cat__neighborhood_FINANCIAL,0.009217318
cat__pluto_bldgclass_D0,0.009037048
cat__neighborhood_MIDTOWN CBD,0.009022432
cat__neighborhood_JACKSON HEIGHTS,0.008778691
cat__borough_name_Bronx,0.008264415
num__pluto_latitude,0.0076332716
cat__neighborhood_PROSPECT HEIGHTS,0.007350799
num__acris_days_since_last_deed,0.0064625284
cat__neighborhood_UPPER EAST SIDE (79-96),0.0062922463
cat__neighborhood_WILLIAMSBURG-SOUTH,0.0061026537
num__pluto_numfloors,0.0060887984
cat__dof_bldg_class_R2,0.005732501
num__j51_last_abate_amt,0.005680568
num__dof_gross_sqft,0.005649182
cat__neighborhood_FLUSHING-NORTH,0.0054263133
cat__neighborhood_GREENWICH VILLAGE-WEST,0.0053172
num__pluto_builtfar,0.005197302
cat__dof_bldg_class_D4,0.0051601063
num__pluto_bldg_footprint,0.005121866
cat__neighborhood_GRAMERCY,0.005116688
num__acris_mortgage_cnt,0.005108651
cat__neighborhood_FASHION,0.005047177
cat__neighborhood_MIDTOWN EAST,0.0050222497
cat__neighborhood_WINDSOR TERRACE,0.004889106
cat__neighborhood_UPPER WEST SIDE (96-116),0.0048441547
cat__borough_name_Staten Island,0.004833958
cat__neighborhood_FLUSHING-SOUTH,0.004724336
cat__neighborhood_CLINTON,0.0046274518
num__dof_units,0.0044790357
cat__neighborhood_GREENWICH VILLAGE-CENTRAL,0.004416952
cat__neighborhood_BOERUM HILL,0.004320365
cat__neighborhood_MORNINGSIDE HEIGHTS,0.0043131113
cat__neighborhood_GREENPOINT,0.004206728
num__dof_bld_story,0.0041961865
cat__neighborhood_FLATBUSH-CENTRAL,0.004071359
num__subway_dist_km,0.0037518449
cat__neighborhood_BAY RIDGE,0.003708255
cat__neighborhood_MADISON,0.003610443
cat__borough_name_Queens,0.0035906879
cat__neighborhood_CLINTON HILL,0.0035685117
cat__pluto_bldgclass_D4,0.0035617158
cat__neighborhood_PARK SLOPE SOUTH,0.0035020981
num__acris_last_mtge_amt,0.0034371424
cat__neighborhood_SOUNDVIEW,0.003344697
num__dof_yrbuilt,0.003261071
cat__dof_tax_class_2C,0.0032543417
cat__neighborhood_LOWER EAST SIDE,0.0032343299
num__j51_total_abatement,0.0032331438
cat__neighborhood_MIDTOWN WEST,0.0031721129
cat__neighborhood_UPPER EAST SIDE (96-110),0.003103209
cat__neighborhood_BROOKLYN HEIGHTS,0.0030040166
cat__dof_bldg_class_U9,0.002919689
cat__neighborhood_PARK SLOPE,0.0028965583
num__property_age,0.002853483
cat__neighborhood_EAST TREMONT,0.002804417
num__dof_curacttot,0.002800982
cat__neighborhood_CROWN HEIGHTS,0.0027459844
cat__neighborhood_ELMHURST,0.0026535743
cat__neighborhood_GRAVESEND,0.0026204672
cat__neighborhood_UPPER EAST SIDE (59-79),0.0025544853
cat__neighborhood_KENSINGTON,0.0025298758
cat__neighborhood_CORONA,0.0025276633
num__dof_curmkttot,0.0025177351
cat__neighborhood_ASTORIA,0.0025099989
cat__dof_bldg_class_R1,0.0024806014
num__dof_curactland,0.0024709632
cat__neighborhood_UPPER WEST SIDE (59-79),0.0024571167
cat__neighborhood_ALPHABET CITY,0.0024457094
cat__neighborhood_BEDFORD STUYVESANT,0.0023577032
cat__dof_bldg_class_C6,0.0023315242
cat__neighborhood_HARLEM-CENTRAL,0.0023050015
cat__neighborhood_CIVIC CENTER,0.002197261
cat__neighborhood_BEECHHURST,0.0020723126
cat__neighborhood_GLENDALE,0.0020492165
cat__neighborhood_MANHATTAN VALLEY,0.0020424123
cat__neighborhood_SOHO,0.002019074
cat__neighborhood_BOROUGH PARK,0.0020050504
cat__neighborhood_WOODLAWN,0.0019885905
cat__neighborhood_UPPER WEST SIDE (79-96),0.0019676406
