feature,importance
num__condo_gross_sqft,0.13741553
num__neighborhood_median_price,0.11849955
cat__borough_name_Manhattan,0.09121821
cat__borough_name_Staten Island,0.09024101
num__dof_assess_per_unit,0.045430098
cat__borough_name_Brooklyn,0.031175867
cat__neighborhood_DOWNTOWN-FULTON MALL,0.0196545
cat__neighborhood_COLLEGE POINT,0.017492067
num__acris_last_deed_amt,0.017395737
cat__neighborhood_OCEAN PARKWAY-NORTH,0.013538985
cat__neighborhood_LONG ISLAND CITY,0.013353056
cat__neighborhood_MIDTOWN EAST,0.013287447
cat__borough_name_Queens,0.012218057
cat__neighborhood_WASHINGTON HEIGHTS LOWER,0.0122033665
cat__neighborhood_GREENPOINT,0.010798385
cat__neighborhood_MADISON,0.010304275
cat__neighborhood_DOWNTOWN-FULTON FERRY,0.009978819
num__acris_prior_sale_cnt,0.009216331
cat__borough_name_Bronx,0.008899961
cat__neighborhood_BOROUGH PARK,0.00884405
num__acris_last_mtge_amt,0.0075691924
num__property_age,0.0067142257
cat__neighborhood_TRIBECA,0.0060281865
cat__neighborhood_HARLEM-CENTRAL,0.0059272274
cat__neighborhood_UPPER WEST SIDE (79-96),0.005919096
num__acris_days_since_last_deed,0.00579263
cat__dof_bldg_class_R2,0.005611826
num__dof_yrbuilt,0.005575847
cat__neighborhood_GREENWICH VILLAGE-WEST,0.0053478833
num__dof_bld_story,0.0049938364
cat__neighborhood_MIDTOWN WEST,0.004990409
cat__neighborhood_UPPER EAST SIDE (59-79),0.004935596
num__dof_curmkttot,0.004928238
num__dof_gross_sqft,0.004891065
cat__dof_bldg_class_R1,0.0048355493
cat__neighborhood_MANHATTAN VALLEY,0.004712755
cat__neighborhood_GRAMERCY,0.004669891
cat__neighborhood_SUNSET PARK,0.0046341517
cat__neighborhood_BROOKLYN HEIGHTS,0.00463217
cat__neighborhood_BEDFORD STUYVESANT,0.004599146
num__j51_total_abatement,0.0045799045
cat__neighborhood_FLUSHING-NORTH,0.004377854
cat__neighborhood_WOODSIDE,0.004337763
cat__neighborhood_RED HOOK,0.0042359247
cat__neighborhood_BRIGHTON BEACH,0.0042216214
cat__neighborhood_BOERUM HILL,0.004211881
cat__neighborhood_CROWN HEIGHTS,0.0041480046
cat__neighborhood_WILLIAMSBURG-SOUTH,0.0037363174
cat__neighborhood_CARROLL GARDENS,0.0036989588
cat__neighborhood_SHEEPSHEAD BAY,0.0036256276
cat__neighborhood_WILLIAMSBURG-NORTH,0.0036117772
cat__neighborhood_UPPER WEST SIDE (59-79),0.003601853
num__dof_curacttot,0.0035688772
cat__neighborhood_HARLEM-UPPER,0.0035587156
cat__dof_tax_class_2C,0.0035076747
cat__neighborhood_ASTORIA,0.0035004867
cat__neighborhood_UPPER EAST SIDE (79-96),0.003487005
cat__neighborhood_CIVIC CENTER,0.003277758
cat__neighborhood_RIVERDALE,0.0032682
cat__neighborhood_FINANCIAL,0.0032624486
cat__neighborhood_FLUSHING-SOUTH,0.0032435819
num__acris_mortgage_cnt,0.0032352624
cat__neighborhood_ALPHABET CITY,0.0032000325
cat__neighborhood_WILLIAMSBURG-CENTRAL,0.0031272017
cat__dof_tax_class_2,0.0030171967
cat__neighborhood_GREENWICH VILLAGE-CENTRAL,0.0029830027
num__dof_curactland,0.0029311196
cat__neighborhood_MURRAY HILL,0.0029142655
cat__neighborhood_MIDWOOD,0.002867641
cat__neighborhood_UPPER WEST SIDE (96-116),0.0027874417
cat__neighborhood_LOWER EAST SIDE,0.0027827627
num__condo_comint_bldg,0.0027540992
num__condo_comint_land,0.0027504973
cat__neighborhood_ELMHURST,0.002680819
cat__neighborhood_SOUTHBRIDGE,0.0026395603
cat__neighborhood_CHINATOWN,0.002579532
cat__neighborhood_CHELSEA,0.002503414
cat__neighborhood_FORT GREENE,0.002455116
cat__dof_bldg_class_R4,0.00245472
num__j51_last_abate_amt,0.0024518168
cat__neighborhood_MORNINGSIDE HEIGHTS,0.002450305
cat__neighborhood_COBBLE HILL,0.0023544184
cat__neighborhood_SUNNYSIDE,0.0022488388
cat__neighborhood_MIDTOWN CBD,0.0020933768
cat__neighborhood_MORRISANIA/LONGWOOD,0.0019595574
cat__neighborhood_FASHION,0.0018025268
cat__neighborhood_WILLIAMSBURG-EAST,0.0017723957
cat__neighborhood_ROCKAWAY PARK,0.0017006823
cat__neighborhood_LITTLE ITALY,0.0015115663
cat__neighborhood_HARLEM-EAST,0.001490064
cat__neighborhood_HAMMELS,0.0014899912
cat__neighborhood_BAY RIDGE,0.0014578024
cat__neighborhood_WHITESTONE,0.0014026262
cat__neighborhood_FLATIRON,0.0013971035
num__dof_units,0.0013946696
cat__neighborhood_EAST VILLAGE,0.0013249074
cat__neighborhood_CLINTON HILL,0.0013212229
