feature,importance
num__neighborhood_median_price,0.1930065
num__dof_assess_per_unit,0.09814137
cat__borough_name_Manhattan,0.07216299
cat__borough_name_Bronx,0.07121824
cat__pluto_bldgclass_D0,0.024415506
cat__borough_name_Queens,0.021109316
cat__pluto_bldgclass_D4,0.01787707
num__acris_prior_sale_cnt,0.01764461
cat__neighborhood_CLINTON HILL,0.017553607
cat__pluto_bldgclass_C6,0.017405571
cat__neighborhood_EAST TREMONT,0.016769674
cat__neighborhood_CHELSEA,0.012836153
num__pluto_longitude,0.012834519
num__pluto_numfloors,0.010472919
cat__neighborhood_TRIBECA,0.009952386
num__subway_cbd_dist_km,0.009824357
cat__neighborhood_RIVERDALE,0.008469549
cat__neighborhood_GRAMERCY,0.008459476
cat__neighborhood_GREENWICH VILLAGE-CENTRAL,0.007966617
num__pluto_builtfar,0.0075533586
num__acris_last_deed_amt,0.0069062184
cat__pluto_bldgclass_V1,0.0068167434
num__acris_mortgage_cnt,0.006792685
num__j51_last_abate_amt,0.0066239424
num__rent_stab_units,0.006012624
cat__neighborhood_HARLEM-UPPER,0.005782608
num__j51_active_flag,0.005759705
cat__neighborhood_MIDTOWN EAST,0.005746029
num__pluto_latitude,0.005626277
num__pluto_bldg_footprint,0.0056146714
cat__neighborhood_FLATLANDS,0.0054461057
cat__neighborhood_MURRAY HILL,0.0054141786
cat__neighborhood_UPPER EAST SIDE (96-110),0.0047913794
num__subway_k3_mean_dist_km,0.0047358656
cat__neighborhood_UPPER EAST SIDE (79-96),0.0046743946
cat__neighborhood_UPPER EAST SIDE (59-79),0.004581423
cat__borough_name_Brooklyn,0.0043736496
num__pluto_far_utilization,0.0043165893
num__subway_n_1km,0.004197551
cat__neighborhood_JACKSON HEIGHTS,0.0041616983
cat__neighborhood_SOUNDVIEW,0.0040950105
cat__neighborhood_MIDTOWN WEST,0.003993032
cat__neighborhood_WILLIAMSBRIDGE,0.003984531
cat__neighborhood_FASHION,0.003951999
num__subway_n_500m,0.0039012996
cat__neighborhood_WASHINGTON HEIGHTS UPPER,0.0038768675
cat__neighborhood_HIGHBRIDGE/MORRIS HEIGHTS,0.00380122
cat__neighborhood_LITTLE ITALY,0.0035945266
cat__neighborhood_CROWN HEIGHTS,0.0035921966
cat__neighborhood_SOHO,0.0035106959
num__subway_n_lines_05mi,0.0035070311
num__subway_dist_km,0.0035007093
cat__neighborhood_FLATBUSH-CENTRAL,0.0034848908
cat__neighborhood_HARLEM-EAST,0.0032960996
num__j51_total_abatement,0.0032487558
cat__neighborhood_ASTORIA,0.003121381
cat__neighborhood_BEECHHURST,0.0031020567
cat__neighborhood_PARK SLOPE,0.0030967135
num__dof_curactland,0.003026976
cat__neighborhood_FORT GREENE,0.0029873454
num__dof_units,0.0028888881
cat__neighborhood_WASHINGTON HEIGHTS LOWER,0.002834506
cat__neighborhood_MIDTOWN CBD,0.0027982234
cat__neighborhood_UPPER WEST SIDE (59-79),0.00278881
cat__neighborhood_MANHATTAN VALLEY,0.0027054509
cat__dof_tax_class_2C,0.0026865588
num__dof_yrbuilt,0.0026597548
cat__neighborhood_OCEAN PARKWAY-NORTH,0.0026551806
cat__neighborhood_KINGSBRIDGE HTS/UNIV HTS,0.0026425037
num__acris_days_since_last_deed,0.0026020617
cat__neighborhood_BROOKLYN HEIGHTS,0.0025927944
cat__neighborhood_UPPER WEST SIDE (96-116),0.0025895226
num__dof_gross_sqft,0.00253041
cat__neighborhood_NEW BRIGHTON-ST. GEORGE,0.0025144615
cat__neighborhood_PARK SLOPE SOUTH,0.002434101
cat__neighborhood_MELROSE/CONCOURSE,0.0024196133
cat__neighborhood_DOWNTOWN-METROTECH,0.0023827874
cat__dof_tax_class_2,0.0023501704
cat__neighborhood_FINANCIAL,0.0022391716
cat__neighborhood_ELMHURST,0.002235912
cat__dof_bldg_class_D4,0.002154899
cat__neighborhood_WILLIAMSBURG-SOUTH,0.0021384659
cat__neighborhood_BRIGHTON BEACH,0.002119502
cat__neighborhood_CLINTON,0.0021045501
cat__neighborhood_COBBLE HILL,0.0020550557
cat__neighborhood_UPPER WEST SIDE (79-96),0.0020381869
cat__neighborhood_ALPHABET CITY,0.0020180112
num__dof_curacttot,0.002000859
num__dof_bld_story,0.0019897716
num__property_age,0.0019756795
cat__neighborhood_KINGSBRIDGE/JEROME PARK,0.0019597632
cat__neighborhood_CIVIC CENTER,0.0019510275
num__subway_hub_flag,0.0019305442
cat__neighborhood_GREENWICH VILLAGE-WEST,0.0019144735
cat__neighborhood_FOREST HILLS,0.0019006048
cat__neighborhood_EAST VILLAGE,0.0018664387
num__acris_last_mtge_amt,0.0018585697
cat__neighborhood_MIDWOOD,0.0018164887
cat__neighborhood_FORDHAM,0.0017493153
cat__dof_bldg_class_R9,0.0017481757
num__dof_curmkttot,0.0017400493
cat__neighborhood_PROSPECT HEIGHTS,0.0016801192
cat__neighborhood_KEW GARDENS,0.001678448
cat__neighborhood_HARLEM-CENTRAL,0.0016640781
cat__neighborhood_BOERUM HILL,0.001634846
cat__neighborhood_SHEEPSHEAD BAY,0.0016278626
