feature,importance
num__pluto_bldg_footprint,1568.0
num__acris_days_since_last_deed,1393.6
num__acris_last_deed_amt,1165.0
num__pluto_latitude,1161.2
num__pluto_builtfar,1110.2
num__subway_cbd_dist_km,1075.2
num__pluto_longitude,1018.8
num__comp_median_price,1010.2
num__pluto_far_utilization,1002.6
num__nbhd_median_l365,966.2
num__acris_last_mtge_amt,946.8
num__borough_yoy_growth,917.2
num__comp_median_ppsqft,877.0
num__subway_dist_km,873.2
num__comp_search_dist_km,850.2
num__dof_assess_per_unit,849.8
num__nbhd_yoy_growth,821.4
num__comp_recency_days,821.0
num__subway_k3_mean_dist_km,794.8
num__neighborhood_median_price,609.8
num__prior_mortgage_ratio,576.0
num__pluto_numfloors,539.4
num__acris_mortgage_cnt,510.8
num__acris_prior_sale_cnt,448.0
num__dof_curactland,419.6
num__dof_gross_sqft,329.6
num__dof_curmkttot,300.0
num__property_age,274.0
num__dof_curacttot,219.0
num__subway_n_lines_05mi,206.0
num__dof_yrbuilt,117.4
num__comp_count,115.8
cat__pluto_bldgclass_S2,79.8
num__total_units,79.4
num__dof_units,71.4
num__pluto_bldgarea,61.2
num__subway_hub_flag,60.0
cat__pluto_bldgclass_B2,55.4
cat__neighborhood_MIDWOOD,46.6
cat__pluto_bldgclass_C0,46.6
num__pluto_lotarea,43.2
cat__pluto_bldgclass_B3,42.8
cat__neighborhood_WILLIAMSBURG-CENTRAL,40.6
cat__pluto_bldgclass_B1,38.4
cat__pluto_bldgclass_B9,37.6
cat__borough_name_Queens,37.0
cat__borough_name_Brooklyn,35.2
cat__neighborhood_OCEAN PARKWAY-SOUTH,35.0
num__residential_units,30.2
cat__dof_bldg_class_B2,30.0
cat__neighborhood_FLATBUSH-CENTRAL,28.4
cat__dof_bldg_class_S2,28.2
cat__neighborhood_BUSHWICK,27.4
cat__neighborhood_CROWN HEIGHTS,26.6
cat__neighborhood_Other_Manhattan,25.8
cat__neighborhood_BEDFORD STUYVESANT,22.2
cat__pluto_bldgclass_C3,22.0
cat__neighborhood_WOODSIDE,20.8
num__j51_total_abatement,19.4
cat__neighborhood_SO. JAMAICA-BAISLEY PARK,17.4
num__dof_bld_story,16.8
cat__neighborhood_FLATBUSH-NORTH,16.2
cat__neighborhood_MARINE PARK,15.8
cat__neighborhood_BOROUGH PARK,15.4
cat__neighborhood_OCEAN HILL,15.2
cat__neighborhood_WILLOWBROOK,14.2
cat__dof_bldg_class_B3,12.6
cat__neighborhood_HOWARD BEACH,12.4
cat__pluto_bldgclass_C1,12.2
cat__neighborhood_ARVERNE,11.8
cat__neighborhood_EAST ELMHURST,11.6
cat__neighborhood_OCEAN PARKWAY-NORTH,11.6
