feature,importance
num__pluto_bldg_footprint,1756.6
num__acris_days_since_last_deed,1354.0
num__pluto_builtfar,1288.4
num__pluto_latitude,1225.8
num__subway_cbd_dist_km,1180.0
num__nbhd_median_l365,1078.6
num__pluto_longitude,1051.6
num__acris_last_deed_amt,1050.4
num__borough_yoy_growth,960.8
num__nbhd_yoy_growth,863.6
num__dof_assess_per_unit,857.4
num__acris_last_mtge_amt,826.4
num__subway_dist_km,807.8
num__subway_k3_mean_dist_km,752.6
num__neighborhood_median_price,720.6
num__pluto_numfloors,579.0
num__prior_mortgage_ratio,461.0
num__acris_mortgage_cnt,454.6
num__dof_curactland,434.4
num__acris_prior_sale_cnt,388.6
num__dof_gross_sqft,375.4
num__dof_curmkttot,368.2
num__pluto_bldgarea,341.2
num__property_age,279.2
cat__pluto_bldgclass_A1,177.2
num__subway_n_1km,163.8
cat__pluto_bldgclass_A3,140.0
num__dof_curacttot,128.6
cat__pluto_bldgclass_A5,98.4
num__pluto_lotarea,94.6
cat__pluto_bldgclass_B3,91.2
num__dof_yrbuilt,86.8
cat__pluto_bldgclass_S1,72.0
cat__neighborhood_HOWARD BEACH,61.6
cat__pluto_bldgclass_A8,51.6
num__subway_hub_flag,48.2
cat__pluto_bldgclass_A9,46.6
cat__borough_name_Brooklyn,46.2
cat__neighborhood_FLATBUSH-CENTRAL,40.2
cat__neighborhood_MIDWOOD,35.0
num__dof_bld_story,33.4
num__subway_n_500m,33.4
cat__pluto_bldgclass_A6,33.2
cat__pluto_bldgclass_A7,31.4
num__dof_units,31.2
cat__neighborhood_BOROUGH PARK,30.0
cat__pluto_bldgclass_A2,29.4
cat__borough_name_Bronx,29.0
cat__neighborhood_FAR ROCKAWAY,25.2
cat__dof_bldg_class_A1,25.2
cat__neighborhood_THROGS NECK,24.8
cat__neighborhood_WOODSIDE,24.6
cat__neighborhood_KEW GARDENS,24.2
cat__pluto_bldgclass_B2,23.8
cat__dof_bldg_class_V0,23.8
cat__pluto_bldgclass_A4,22.2
cat__neighborhood_FLATBUSH-EAST,19.4
cat__neighborhood_OCEAN PARKWAY-SOUTH,19.0
num__far,17.6
cat__neighborhood_JAMAICA ESTATES,17.0
cat__neighborhood_OCEAN PARKWAY-NORTH,17.0
cat__neighborhood_MARINE PARK,16.2
cat__neighborhood_WINDSOR TERRACE,16.0
cat__dof_bldg_class_S1,14.8
cat__neighborhood_GRYMES HILL,14.6
cat__neighborhood_SUNNYSIDE,14.6
cat__neighborhood_MILL BASIN,13.6
cat__neighborhood_BEDFORD PARK/NORWOOD,13.4
cat__neighborhood_ARDEN HEIGHTS,13.0
cat__neighborhood_SO. JAMAICA-BAISLEY PARK,12.8
cat__neighborhood_SHEEPSHEAD BAY,12.2
cat__neighborhood_WEST NEW BRIGHTON,11.8
cat__neighborhood_MIDDLE VILLAGE,11.6
cat__neighborhood_FLUSHING-NORTH,11.6
cat__neighborhood_HOLLISWOOD,11.6
cat__neighborhood_GREENPOINT,11.0
cat__dof_bldg_class_A2,11.0
cat__neighborhood_CONCORD-FOX HILLS,10.6
cat__borough_name_Queens,10.6
cat__neighborhood_GLENDALE,10.6
cat__neighborhood_CONEY ISLAND,10.6
cat__pluto_bldgclass_C0,10.4
cat__neighborhood_BEDFORD STUYVESANT,10.0
cat__borough_name_Manhattan,10.0
cat__neighborhood_FLATBUSH-NORTH,9.8
cat__neighborhood_ANNADALE,9.6
cat__neighborhood_SOUNDVIEW,9.2
cat__dof_bldg_class_A9,9.0
cat__neighborhood_WHITESTONE,8.8
cat__neighborhood_QUEENS VILLAGE,8.2
cat__dof_bldg_class_A4,8.0
cat__neighborhood_ROCKAWAY PARK,7.4
cat__neighborhood_ASTORIA,7.2
cat__neighborhood_LAURELTON,7.2
cat__neighborhood_ST. ALBANS,6.8
cat__neighborhood_BROAD CHANNEL,6.4
cat__neighborhood_JACKSON HEIGHTS,6.4
cat__neighborhood_JAMAICA,6.4
cat__neighborhood_FLUSHING-SOUTH,6.4
cat__neighborhood_CYPRESS HILLS,6.2
cat__neighborhood_GRASMERE,6.2
cat__neighborhood_TODT HILL,6.0
cat__borough_name_Staten Island,6.0
