feature,importance
num__residential_units,0.19816794
num__total_units,0.12626131
num__neighborhood_median_price,0.08998121
num__dof_assess_per_unit,0.03587316
num__pluto_bldg_footprint,0.03385498
num__acris_prior_sale_cnt,0.032937527
num__dof_units,0.0312701
num__dof_gross_sqft,0.028552826
num__acris_last_mtge_amt,0.02839611
cat__dof_bldg_class_D7,0.02818637
num__j51_last_abate_amt,0.027641311
num__acris_mortgage_cnt,0.02761731
num__j51_total_abatement,0.024645718
num__acris_days_since_last_deed,0.023625227
num__dof_curacttot,0.023585163
num__dof_curactland,0.021715634
num__pluto_longitude,0.021626353
num__pluto_latitude,0.01929589
num__pluto_builtfar,0.01913397
num__subway_dist_km,0.019009236
num__dof_yrbuilt,0.018725108
num__acris_last_deed_amt,0.01853618
num__dof_curmkttot,0.018249622
num__property_age,0.017449686
cat__pluto_bldgclass_D1,0.017248979
cat__pluto_bldgclass_D7,0.016818935
num__pluto_numfloors,0.01599069
cat__borough_name_Manhattan,0.015603406
cat__neighborhood_MURRAY HILL,0.0
cat__neighborhood_WILLIAMSBRIDGE,0.0
cat__neighborhood_WASHINGTON HEIGHTS UPPER,0.0
cat__neighborhood_WASHINGTON HEIGHTS LOWER,0.0
cat__neighborhood_WAKEFIELD,0.0
cat__neighborhood_UPPER WEST SIDE (96-116),0.0
cat__neighborhood_UPPER WEST SIDE (79-96),0.0
cat__neighborhood_UPPER WEST SIDE (59-79),0.0
cat__neighborhood_UPPER EAST SIDE (96-110),0.0
cat__neighborhood_UPPER EAST SIDE (79-96),0.0
cat__neighborhood_UPPER EAST SIDE (59-79),0.0
cat__neighborhood_SUNNYSIDE,0.0
cat__neighborhood_MORRISANIA/LONGWOOD,0.0
cat__neighborhood_SOUTHBRIDGE,0.0
cat__neighborhood_SOUNDVIEW,0.0
cat__neighborhood_SOHO,0.0
cat__neighborhood_SHEEPSHEAD BAY,0.0
cat__neighborhood_SCHUYLERVILLE/PELHAM BAY,0.0
cat__neighborhood_RIVERDALE,0.0
cat__neighborhood_RIDGEWOOD,0.0
cat__neighborhood_REGO PARK,0.0
cat__neighborhood_MOTT HAVEN/PORT MORRIS,0.0
cat__neighborhood_PELHAM PARKWAY NORTH,0.0
cat__neighborhood_PARKCHESTER,0.0
cat__neighborhood_PARK SLOPE SOUTH,0.0
cat__neighborhood_MOUNT HOPE/MOUNT EDEN,0.0
cat__neighborhood_OCEAN PARKWAY-SOUTH,0.0
cat__neighborhood_OCEAN PARKWAY-NORTH,0.0
cat__neighborhood_OCEAN HILL,0.0
cat__neighborhood_WESTCHESTER,0.0
cat__dof_bldg_class_D9,0.0
cat__neighborhood_WILLIAMSBURG-EAST,0.0
