feature,importance
num__neighborhood_median_price,0.1392213
num__dof_assess_per_unit,0.092513
cat__pluto_bldgclass_C3,0.054653574
num__residential_units,0.05408113
num__subway_cbd_dist_km,0.042858064
num__total_units,0.037361406
num__acris_last_deed_amt,0.025183588
num__acris_last_mtge_amt,0.024843138
num__rent_stab_units,0.022735499
num__subway_n_lines_05mi,0.019828975
cat__borough_name_Manhattan,0.019684358
cat__neighborhood_OCEAN HILL,0.01925659
num__pluto_bldg_footprint,0.017251378
num__pluto_numfloors,0.017058128
cat__borough_name_Bronx,0.016374432
num__is_elevator,0.014393365
num__acris_mortgage_cnt,0.014387138
num__pluto_builtfar,0.013561644
cat__pluto_bldgclass_C5,0.01355852
cat__pluto_bldgclass_C1,0.012794499
cat__dof_tax_class_2,0.012278023
num__acris_days_since_last_deed,0.011980049
cat__dof_bldg_class_C1,0.011852657
num__dof_curactland,0.01134049
num__dof_units,0.01132289
num__subway_dist_km,0.011250626
num__subway_k3_mean_dist_km,0.010526977
cat__neighborhood_HARLEM-CENTRAL,0.010493155
cat__dof_tax_class_2A,0.010184458
cat__dof_bldg_class_C3,0.010010806
num__j51_last_abate_amt,0.0097484095
num__subway_n_1km,0.009401448
num__dof_yrbuilt,0.009087461
num__property_age,0.008982665
cat__borough_name_Brooklyn,0.008545401
num__j51_active_flag,0.008515753
num__j51_total_abatement,0.00839921
cat__dof_bldg_class_C4,0.008006656
num__dof_gross_sqft,0.007528957
cat__neighborhood_OZONE PARK,0.0075277807
cat__borough_name_Queens,0.0066443095
cat__neighborhood_ALPHABET CITY,0.0065595405
cat__pluto_bldgclass_D7,0.006535705
cat__neighborhood_CROWN HEIGHTS,0.0062704436
num__acris_prior_sale_cnt,0.006224994
num__dof_curmkttot,0.0061623654
num__dof_curacttot,0.00610093
cat__pluto_bldgclass_A4,0.0060757534
num__subway_n_500m,0.005830904
cat__dof_bldg_class_C7,0.0053052315
cat__pluto_bldgclass_C7,0.005127369
cat__neighborhood_BENSONHURST,0.004949156
cat__pluto_bldgclass_D3,0.00489794
cat__neighborhood_BAY RIDGE,0.004698248
cat__neighborhood_WASHINGTON HEIGHTS LOWER,0.004520783
num__dof_bld_story,0.004519413
cat__neighborhood_BUSHWICK,0.004253703
cat__neighborhood_ASTORIA,0.003944717
cat__neighborhood_FLUSHING-NORTH,0.0032171845
cat__neighborhood_UPPER EAST SIDE (79-96),0.003206794
cat__dof_bldg_class_C2,0.0027682842
num__subway_hub_flag,0.0026605316
cat__pluto_bldgclass_C4,0.0026507184
cat__neighborhood_PARK SLOPE,0.002263791
cat__pluto_bldgclass_C2,0.00221437
cat__neighborhood_EAST NEW YORK,0.0014551121
cat__neighborhood_FORDHAM,0.0014457672
cat__neighborhood_SOHO,0.0013859442
cat__dof_tax_class_2B,0.0012070788
cat__neighborhood_EAST VILLAGE,0.0011303514
cat__neighborhood_GREENWICH VILLAGE-WEST,0.0010997007
cat__neighborhood_WILLIAMSBRIDGE,0.0010774308
cat__neighborhood_HARLEM-UPPER,0.0010044854
cat__neighborhood_WILLIAMSBURG-SOUTH,0.00094856817
cat__dof_bldg_class_C5,0.0009255779
cat__neighborhood_UPPER EAST SIDE (59-79),0.00076873676
cat__neighborhood_CORONA,0.00036074957
cat__neighborhood_FLATBUSH-CENTRAL,0.00032785346
cat__dof_bldg_class_D1,0.00027727062
cat__neighborhood_BROWNSVILLE,0.00021272498
