feature,importance
num__pluto_bldg_footprint,537.2
num__acris_days_since_last_deed,465.0
num__pluto_latitude,412.6
num__acris_last_deed_amt,385.0
num__pluto_builtfar,379.6
num__acris_last_mtge_amt,372.4
num__nbhd_median_l365,365.2
num__subway_cbd_dist_km,364.8
num__pluto_longitude,356.2
num__borough_yoy_growth,352.2
num__comp_median_price,349.4
num__dof_assess_per_unit,335.2
num__comp_median_ppsqft,334.4
num__subway_dist_km,317.0
num__nbhd_yoy_growth,297.4
num__comp_search_dist_km,276.6
num__comp_recency_days,273.4
num__neighborhood_median_price,268.0
num__subway_k3_mean_dist_km,236.6
num__acris_mortgage_cnt,212.8
num__acris_prior_sale_cnt,201.2
num__pluto_numfloors,190.0
num__prior_mortgage_ratio,167.0
num__dof_curactland,160.2
num__dof_gross_sqft,106.2
num__dof_curmkttot,89.8
num__property_age,81.2
num__dof_curacttot,71.0
num__comp_count,44.4
num__dof_yrbuilt,43.2
cat__pluto_bldgclass_C0,35.0
num__subway_hub_flag,27.2
cat__neighborhood_WILLIAMSBURG-CENTRAL,23.6
cat__neighborhood_BUSHWICK,13.8
cat__borough_name_Queens,11.8
cat__borough_name_Brooklyn,9.8
cat__neighborhood_WOODSIDE,9.0
cat__neighborhood_Other_Brooklyn,8.0
cat__neighborhood_BATH BEACH,6.0
cat__neighborhood_BEDFORD STUYVESANT,5.2
num__dof_bld_story,5.0
cat__pluto_bldgclass_A4,5.0
cat__neighborhood_ELMHURST,4.2
cat__neighborhood_FLATBUSH-CENTRAL,3.8
cat__borough_name_Manhattan,3.2
cat__neighborhood_MORRISANIA/LONGWOOD,2.8
cat__borough_name_Bronx,2.8
cat__neighborhood_BOROUGH PARK,2.4
cat__neighborhood_MASPETH,2.2
cat__neighborhood_Other_Queens,2.0
cat__pluto_bldgclass_B2,2.0
cat__pluto_bldgclass_C1,1.8
cat__neighborhood_JACKSON HEIGHTS,1.6
cat__neighborhood_OCEAN HILL,1.4
cat__neighborhood_PARK SLOPE,1.4
cat__neighborhood_Other_Bronx,1.4
cat__neighborhood_Other_Manhattan,1.2
cat__neighborhood_CANARSIE,1.0
cat__neighborhood_ASTORIA,0.8
cat__neighborhood_CROWN HEIGHTS,0.6
cat__neighborhood_CORONA,0.6
cat__neighborhood_EAST NEW YORK,0.6
cat__neighborhood_SUNSET PARK,0.6
cat__neighborhood_ARVERNE,0.4
cat__neighborhood_HIGHBRIDGE/MORRIS HEIGHTS,0.4
cat__neighborhood_FAR ROCKAWAY,0.4
cat__neighborhood_BENSONHURST,0.4
cat__neighborhood_BEDFORD PARK/NORWOOD,0.2
cat__neighborhood_SOUNDVIEW,0.2
cat__neighborhood_SOUTH JAMAICA,0.2
cat__neighborhood_OCEAN PARKWAY-SOUTH,0.2
cat__neighborhood_GRAVESEND,0.2
cat__neighborhood_CYPRESS HILLS,0.2
cat__neighborhood_OCEAN PARKWAY-NORTH,0.2
cat__neighborhood_BERGEN BEACH,0.0
cat__dof_bldg_class_S3,0.0
cat__dof_bldg_class_U7,0.0
cat__dof_bldg_class_V1,0.0
cat__dof_tax_class_1,0.0
cat__dof_tax_class_1B,0.0
cat__dof_tax_class_2A,0.0
cat__dof_bldg_class_V0,0.0
cat__dof_bldg_class_C2,0.0
cat__dof_bldg_class_P5,0.0
cat__dof_bldg_class_G7,0.0
cat__dof_tax_class_4,0.0
cat__dof_bldg_class_C0,0.0
cat__dof_bldg_class_B2,0.0
cat__dof_bldg_class_A0,0.0
cat__neighborhood_WYCKOFF HEIGHTS,0.0
num__pluto_bldgarea,0.0
cat__neighborhood_WOODHAVEN,0.0
cat__neighborhood_WILLIAMSBURG-SOUTH,0.0
cat__neighborhood_WILLIAMSBURG-EAST,0.0
num__pluto_lotarea,0.0
cat__dof_tax_class_3,0.0
cat__pluto_bldgclass_A5,0.0
cat__pluto_bldgclass_A1,0.0
cat__pluto_bldgclass_A2,0.0
cat__pluto_bldgclass_V0,0.0
cat__pluto_bldgclass_S5,0.0
cat__pluto_bldgclass_S3,0.0
cat__pluto_bldgclass_S2,0.0
cat__pluto_bldgclass_S1,0.0
cat__pluto_bldgclass_O8,0.0
cat__pluto_bldgclass_O5,0.0
cat__pluto_bldgclass_O2,0.0
cat__pluto_bldgclass_K2,0.0
cat__pluto_bldgclass_D9,0.0
cat__pluto_bldgclass_D7,0.0
cat__pluto_bldgclass_D6,0.0
cat__pluto_bldgclass_D3,0.0
cat__pluto_bldgclass_D1,0.0
cat__pluto_bldgclass_C7,0.0
cat__pluto_bldgclass_C5,0.0
cat__pluto_bldgclass_C3,0.0
cat__pluto_bldgclass_C2,0.0
num__dof_units,0.0
num__j51_active_flag,0.0
cat__pluto_bldgclass_B9,0.0
cat__pluto_bldgclass_B3,0.0
num__j51_last_abate_amt,0.0
cat__pluto_bldgclass_B1,0.0
cat__pluto_bldgclass_A9,0.0
cat__pluto_bldgclass_A7,0.0
cat__neighborhood_WHITESTONE,0.0
num__j51_total_abatement,0.0
cat__pluto_bldgclass_A3,0.0
cat__neighborhood_WILLIAMSBRIDGE,0.0
cat__neighborhood_RICHMOND HILL,0.0
cat__neighborhood_WESTCHESTER,0.0
cat__neighborhood_EAST ELMHURST,0.0
cat__neighborhood_GOWANUS,0.0
cat__neighborhood_GLENDALE,0.0
cat__neighborhood_FORT GREENE,0.0
cat__neighborhood_FORDHAM,0.0
cat__neighborhood_FLUSHING-SOUTH,0.0
cat__neighborhood_FLUSHING-NORTH,0.0
cat__neighborhood_FLATBUSH-NORTH,0.0
cat__neighborhood_FLATBUSH-LEFFERTS GARDEN,0.0
cat__neighborhood_FLATBUSH-EAST,0.0
cat__neighborhood_BAYSIDE,0.0
cat__neighborhood_EAST TREMONT,0.0
cat__neighborhood_DYKER HEIGHTS,0.0
cat__neighborhood_HARLEM-CENTRAL,0.0
cat__neighborhood_CROTONA PARK,0.0
cat__neighborhood_COUNTRY CLUB,0.0
cat__neighborhood_COLLEGE POINT,0.0
cat__neighborhood_COBBLE HILL,0.0
cat__neighborhood_CLINTON HILL,0.0
cat__neighborhood_CASTLE HILL/UNIONPORT,0.0
cat__neighborhood_CARROLL GARDENS,0.0
cat__neighborhood_BELMONT,0.0
cat__neighborhood_BROWNSVILLE,0.0
cat__neighborhood_BRONXDALE,0.0
cat__neighborhood_BRIGHTON BEACH,0.0
cat__neighborhood_GREENPOINT,0.0
cat__neighborhood_HOLLIS,0.0
cat__neighborhood_WAKEFIELD,0.0
cat__neighborhood_OZONE PARK,0.0
cat__neighborhood_THROGS NECK,0.0
cat__neighborhood_SHEEPSHEAD BAY,0.0
cat__neighborhood_SCHUYLERVILLE/PELHAM BAY,0.0
cat__neighborhood_ROSEDALE,0.0
cat__neighborhood_RIDGEWOOD,0.0
cat__neighborhood_BOERUM HILL,0.0
cat__neighborhood_PROSPECT HEIGHTS,0.0
cat__neighborhood_PARKCHESTER,0.0
cat__neighborhood_PARK SLOPE SOUTH,0.0
cat__neighborhood_Other_Staten Island,0.0
cat__borough_name_Staten Island,0.0
cat__neighborhood_NEW BRIGHTON,0.0
cat__neighborhood_BAYCHESTER,0.0
cat__neighborhood_MOUNT HOPE/MOUNT EDEN,0.0
cat__neighborhood_MOTT HAVEN/PORT MORRIS,0.0
cat__neighborhood_MORRIS PARK/VAN NEST,0.0
cat__neighborhood_MIDWOOD,0.0
cat__neighborhood_MIDDLE VILLAGE,0.0
cat__neighborhood_MELROSE/CONCOURSE,0.0
cat__neighborhood_BAY RIDGE,0.0
cat__neighborhood_LONG ISLAND CITY,0.0
cat__neighborhood_KINGSBRIDGE/JEROME PARK,0.0
cat__neighborhood_KENSINGTON,0.0
cat__neighborhood_JAMAICA,0.0
cat__pluto_bldgclass_V1,0.0
