feature,importance
num__pluto_bldg_footprint,1468.2
num__acris_days_since_last_deed,1199.2
num__pluto_builtfar,1075.0
num__acris_last_deed_amt,1054.0
num__subway_cbd_dist_km,982.8
num__pluto_latitude,981.4
num__comp_median_price,885.8
num__borough_yoy_growth,843.8
num__pluto_longitude,832.6
num__acris_last_mtge_amt,822.0
num__nbhd_median_l365,796.2
num__comp_median_ppsqft,766.6
num__dof_assess_per_unit,763.0
num__subway_dist_km,760.0
num__comp_search_dist_km,757.6
num__subway_k3_mean_dist_km,736.6
num__nbhd_yoy_growth,728.6
num__comp_recency_days,654.8
num__neighborhood_median_price,576.0
num__prior_mortgage_ratio,516.2
num__pluto_numfloors,512.6
num__acris_mortgage_cnt,430.8
num__dof_curactland,394.2
num__acris_prior_sale_cnt,345.2
num__dof_gross_sqft,323.6
num__dof_curmkttot,256.2
num__property_age,245.4
num__dof_curacttot,162.0
num__comp_count,116.6
num__dof_yrbuilt,100.2
cat__pluto_bldgclass_S2,93.4
num__pluto_bldgarea,84.6
num__dof_units,61.8
cat__pluto_bldgclass_B2,57.6
num__subway_hub_flag,52.2
cat__pluto_bldgclass_B9,52.0
cat__pluto_bldgclass_B3,52.0
num__pluto_lotarea,48.0
cat__pluto_bldgclass_B1,36.6
cat__neighborhood_MIDWOOD,34.4
cat__borough_name_Queens,33.8
cat__neighborhood_OCEAN PARKWAY-SOUTH,32.2
cat__borough_name_Brooklyn,25.2
cat__dof_bldg_class_B2,25.2
cat__neighborhood_CROWN HEIGHTS,24.4
cat__neighborhood_FLATBUSH-CENTRAL,20.6
cat__pluto_bldgclass_C1,19.8
cat__neighborhood_Other_Manhattan,18.2
cat__neighborhood_MARINE PARK,18.0
cat__neighborhood_EAST ELMHURST,15.8
cat__neighborhood_BUSHWICK,15.6
cat__neighborhood_CLINTON HILL,15.0
cat__neighborhood_EAST NEW YORK,14.8
cat__neighborhood_SO. JAMAICA-BAISLEY PARK,14.4
cat__neighborhood_FLATBUSH-NORTH,13.8
cat__neighborhood_KINGSBRIDGE HTS/UNIV HTS,13.6
cat__neighborhood_JACKSON HEIGHTS,13.2
cat__neighborhood_WILLIAMSBURG-CENTRAL,13.0
cat__neighborhood_HOWARD BEACH,12.6
cat__dof_bldg_class_S2,12.2
cat__dof_bldg_class_B3,11.4
cat__neighborhood_ARVERNE,11.0
cat__borough_name_Staten Island,11.0
cat__borough_name_Bronx,10.4
num__dof_bld_story,10.2
cat__neighborhood_SUNNYSIDE,10.0
cat__neighborhood_FLATBUSH-LEFFERTS GARDEN,10.0
cat__neighborhood_WILLOWBROOK,9.8
cat__neighborhood_BEDFORD STUYVESANT,9.4
cat__dof_bldg_class_B1,8.8
cat__neighborhood_EAST TREMONT,8.0
cat__neighborhood_HIGHBRIDGE/MORRIS HEIGHTS,8.0
cat__neighborhood_BOROUGH PARK,7.8
cat__neighborhood_PARK SLOPE SOUTH,7.8
cat__neighborhood_BROWNSVILLE,7.8
cat__neighborhood_SPRINGFIELD GARDENS,7.6
cat__neighborhood_OCEAN HILL,7.4
cat__neighborhood_JAMAICA HILLS,6.8
cat__neighborhood_NEW DORP-HEIGHTS,6.8
cat__neighborhood_MELROSE/CONCOURSE,6.6
cat__neighborhood_SHEEPSHEAD BAY,6.2
cat__neighborhood_OCEAN PARKWAY-NORTH,6.2
cat__neighborhood_OZONE PARK,6.0
cat__neighborhood_HOLLIS,5.8
cat__neighborhood_DYKER HEIGHTS,5.4
cat__neighborhood_FLUSHING-NORTH,5.2
cat__neighborhood_FLATBUSH-EAST,4.8
cat__neighborhood_WESTCHESTER,4.8
cat__neighborhood_MORRISANIA/LONGWOOD,4.8
cat__neighborhood_QUEENS VILLAGE,4.8
cat__neighborhood_GLENDALE,4.6
cat__neighborhood_WILLIAMSBRIDGE,4.4
cat__neighborhood_BATH BEACH,4.4
cat__neighborhood_PLEASANT PLAINS,4.0
cat__neighborhood_Other_Staten Island,3.8
cat__neighborhood_JAMAICA,3.6
cat__neighborhood_WHITESTONE,3.6
cat__neighborhood_BRONXDALE,3.4
cat__neighborhood_ELMHURST,3.2
cat__neighborhood_BEDFORD PARK/NORWOOD,3.2
cat__neighborhood_SOUNDVIEW,3.2
cat__neighborhood_WILLIAMSBURG-EAST,3.2
cat__neighborhood_CORONA,3.0
cat__neighborhood_SOUTH JAMAICA,3.0
cat__neighborhood_WOODSIDE,3.0
cat__neighborhood_MORRIS PARK/VAN NEST,2.8
cat__pluto_bldgclass_D3,2.8
cat__dof_bldg_class_B9,2.8
cat__neighborhood_WOODROW,2.6
cat__borough_name_Manhattan,2.6
cat__neighborhood_ROSEDALE,2.4
cat__neighborhood_CASTLETON CORNERS,2.4
cat__neighborhood_SUNSET PARK,2.4
cat__neighborhood_PELHAM PARKWAY NORTH,2.4
cat__neighborhood_ASTORIA,2.4
cat__neighborhood_NEW DORP,2.2
cat__neighborhood_BELLEROSE,2.2
cat__neighborhood_BAY RIDGE,2.2
cat__neighborhood_MIDDLE VILLAGE,2.0
cat__neighborhood_PARK SLOPE,1.8
cat__neighborhood_ST. ALBANS,1.8
cat__pluto_bldgclass_V1,1.8
cat__neighborhood_CONCORD,1.6
cat__neighborhood_FORT GREENE,1.6
cat__neighborhood_BENSONHURST,1.6
cat__neighborhood_CYPRESS HILLS,1.6
cat__neighborhood_BOERUM HILL,1.4
cat__neighborhood_SEAGATE,1.2
cat__neighborhood_SOUTH OZONE PARK,1.2
cat__neighborhood_RIVERDALE,1.2
cat__neighborhood_LAURELTON,1.2
cat__neighborhood_FLATLANDS,1.0
cat__neighborhood_MASPETH,1.0
cat__neighborhood_Other_Queens,1.0
cat__neighborhood_BATHGATE,1.0
cat__neighborhood_CASTLE HILL/UNIONPORT,1.0
cat__neighborhood_GRAVESEND,1.0
cat__pluto_bldgclass_V0,1.0
cat__neighborhood_BRIGHTON BEACH,1.0
cat__neighborhood_FOREST HILLS,1.0
cat__neighborhood_KENSINGTON,0.8
cat__neighborhood_PRINCES BAY,0.8
cat__neighborhood_BAYSIDE,0.8
cat__neighborhood_RICHMOND HILL,0.8
cat__neighborhood_BAYCHESTER,0.6
cat__neighborhood_ELTINGVILLE,0.6
cat__neighborhood_NEW BRIGHTON,0.6
cat__neighborhood_ROSEBANK,0.6
cat__neighborhood_RIDGEWOOD,0.6
cat__neighborhood_ARDEN HEIGHTS,0.6
cat__neighborhood_LONG ISLAND CITY,0.4
