feature,importance
cat__borough_1,0.15236954
num__neighborhood_median_price,0.09239393
cat__borough_3,0.07444943
cat__building_class_17 CONDO COOPS,0.07143342
cat__neighborhood_BEDFORD PARK/NORWOOD,0.059954934
cat__building_class_13 CONDOS - ELEVATOR APARTMENTS,0.05479723
cat__borough_2,0.033519253
cat__neighborhood_FORT GREENE,0.023109885
cat__neighborhood_CHELSEA,0.018819565
num__assess_per_unit,0.015741454
cat__building_class_09 COOPS - WALKUP APARTMENTS,0.015354406
cat__borough_4,0.01267134
cat__neighborhood_MORNINGSIDE HEIGHTS,0.01174208
cat__neighborhood_JAMAICA,0.009978791
cat__building_class_10 COOPS - ELEVATOR APARTMENTS,0.009389172
num__year_built,0.009324724
cat__neighborhood_DOWNTOWN-FULTON MALL,0.009017579
cat__neighborhood_BOERUM HILL,0.00896892
cat__building_class_15 CONDOS - 2-10 UNIT RESIDENTIAL,0.008812114
cat__neighborhood_FINANCIAL,0.008580864
num__latitude,0.007886444
cat__neighborhood_BEDFORD STUYVESANT,0.0074116616
cat__neighborhood_WILLIAMSBURG-SOUTH,0.0072681834
cat__neighborhood_HARLEM-EAST,0.00696676
num__property_age,0.00685316
cat__neighborhood_ELMHURST,0.006852764
num__longitude,0.0063841343
cat__neighborhood_MIDTOWN EAST,0.0063228933
cat__neighborhood_FLATBUSH-CENTRAL,0.0063013076
cat__neighborhood_JACKSON HEIGHTS,0.00613544
num__numfloors,0.005841727
cat__neighborhood_MURRAY HILL,0.005450068
cat__neighborhood_UPPER EAST SIDE (59-79),0.0053823967
cat__neighborhood_FLATBUSH-LEFFERTS GARDEN,0.0052702203
num__lot_coverage,0.0052379793
cat__neighborhood_RIVERDALE,0.004929802
cat__neighborhood_GREENWICH VILLAGE-CENTRAL,0.004688055
cat__neighborhood_HARLEM-CENTRAL,0.0045793387
cat__neighborhood_BROOKLYN HEIGHTS,0.00439159
cat__neighborhood_GREENWICH VILLAGE-WEST,0.004348583
cat__neighborhood_UPPER WEST SIDE (59-79),0.0041146777
cat__neighborhood_BAY RIDGE,0.0041082003
cat__neighborhood_OCEAN PARKWAY-NORTH,0.0039025801
cat__neighborhood_WASHINGTON HEIGHTS LOWER,0.0038848275
cat__neighborhood_PARK SLOPE SOUTH,0.0037134488
cat__neighborhood_UPPER EAST SIDE (79-96),0.0036528618
cat__neighborhood_GRAVESEND,0.0036324894
cat__neighborhood_LONG ISLAND CITY,0.0035655699
cat__neighborhood_HARLEM-UPPER,0.0034291262
