feature,importance
num__neighborhood_median_price,0.10772023
cat__borough_5,0.07499704
cat__borough_2,0.048199564
cat__borough_4,0.026591238
cat__neighborhood_UPPER EAST SIDE (79-96),0.02241188
cat__neighborhood_PARK SLOPE,0.017583176
cat__neighborhood_HOLLIS,0.01625733
num__gross_sqft,0.015619969
cat__neighborhood_BUSHWICK,0.015566507
cat__borough_1,0.014604968
cat__neighborhood_ELTINGVILLE,0.0136692105
num__longitude,0.013579453
cat__borough_3,0.012336866
cat__neighborhood_ROSEDALE,0.012070006
num__latitude,0.011062536
num__year_built,0.010886298
cat__neighborhood_BEDFORD STUYVESANT,0.010805048
num__land_sqft,0.009910949
cat__neighborhood_MORRIS PARK/VAN NEST,0.009856688
num__property_age,0.009745455
cat__neighborhood_FLATLANDS,0.00942358
cat__neighborhood_GREENPOINT,0.009341535
cat__neighborhood_OCEAN PARKWAY-SOUTH,0.0092762895
cat__neighborhood_CLINTON HILL,0.00890966
cat__neighborhood_FORT GREENE,0.008724886
cat__neighborhood_FAR ROCKAWAY,0.008649815
cat__neighborhood_BOROUGH PARK,0.008438317
cat__neighborhood_SOUNDVIEW,0.008414965
cat__building_class_03 THREE FAMILY DWELLINGS,0.008336937
cat__neighborhood_JACKSON HEIGHTS,0.008262672
cat__neighborhood_SEAGATE,0.008215304
cat__neighborhood_CROWN HEIGHTS,0.00821014
cat__neighborhood_SOUTH OZONE PARK,0.00797618
cat__neighborhood_WEST NEW BRIGHTON,0.0077923425
cat__building_class_02 TWO FAMILY DWELLINGS,0.007725467
cat__neighborhood_CYPRESS HILLS,0.007552446
cat__neighborhood_SPRINGFIELD GARDENS,0.007343787
cat__neighborhood_FLATBUSH-CENTRAL,0.0073311757
cat__neighborhood_KINGSBRIDGE HTS/UNIV HTS,0.0071325214
cat__neighborhood_BEDFORD PARK/NORWOOD,0.0070627183
cat__neighborhood_MIDDLE VILLAGE,0.0069984933
cat__neighborhood_EAST NEW YORK,0.006895525
cat__neighborhood_SOUTH JAMAICA,0.0068715373
cat__neighborhood_FLATBUSH-EAST,0.0068618264
cat__neighborhood_NEW DORP,0.006812801
cat__neighborhood_OCEAN HILL,0.006807736
cat__neighborhood_GRAVESEND,0.006738914
cat__neighborhood_OZONE PARK,0.006263597
cat__neighborhood_BAY RIDGE,0.0060883793
cat__neighborhood_GOWANUS,0.006030654
cat__neighborhood_WOODSIDE,0.0059976773
cat__neighborhood_JAMAICA ESTATES,0.005727771
cat__neighborhood_MOUNT HOPE/MOUNT EDEN,0.005663813
cat__neighborhood_CANARSIE,0.005615261
cat__neighborhood_FLUSHING-NORTH,0.005567491
cat__neighborhood_HARLEM-CENTRAL,0.005561985
cat__neighborhood_JAMAICA,0.005307913
cat__neighborhood_WOODHAVEN,0.0052767657
cat__neighborhood_BRONXDALE,0.005159985
cat__neighborhood_HAMMELS,0.0051536136
cat__neighborhood_BERGEN BEACH,0.0050341575
cat__neighborhood_MORRISANIA/LONGWOOD,0.00493182
cat__neighborhood_OAKLAND GARDENS,0.004886539
cat__neighborhood_FLATBUSH-NORTH,0.0048499014
cat__neighborhood_WILLIAMSBURG-EAST,0.00479962
cat__neighborhood_OCEAN PARKWAY-NORTH,0.0047161872
cat__neighborhood_RICHMOND HILL,0.0044347523
cat__neighborhood_ELMHURST,0.0044144774
cat__neighborhood_WILLIAMSBURG-SOUTH,0.004366572
cat__neighborhood_BAYCHESTER,0.004325818
cat__neighborhood_ST. ALBANS,0.00429983
cat__neighborhood_CONCORD,0.0042301523
