feature,importance
num__neighborhood_median_price,0.127057
cat__borough_5,0.066387445
cat__borough_2,0.06280092
num__gross_sqft,0.041770883
cat__neighborhood_FLUSHING-NORTH,0.034927875
cat__borough_3,0.02009861
cat__borough_4,0.01803999
cat__neighborhood_RIVERDALE,0.015711464
num__land_sqft,0.01225386
cat__neighborhood_FAR ROCKAWAY,0.011374975
cat__neighborhood_CANARSIE,0.0112995
cat__neighborhood_SUNNYSIDE,0.010768926
cat__neighborhood_HOWARD BEACH,0.010698422
cat__neighborhood_SHEEPSHEAD BAY,0.010444526
num__longitude,0.009110237
cat__neighborhood_FOREST HILLS,0.008582995
cat__neighborhood_FLATBUSH-CENTRAL,0.008411216
num__latitude,0.008378514
num__property_age,0.008201551
cat__neighborhood_ELMHURST,0.008118895
cat__neighborhood_FLUSHING-SOUTH,0.008052561
cat__neighborhood_BOROUGH PARK,0.007915627
num__year_built,0.007831278
cat__neighborhood_HOLLIS,0.0077741086
cat__neighborhood_QUEENS VILLAGE,0.0077123283
cat__neighborhood_EAST ELMHURST,0.0076464857
cat__neighborhood_FLATLANDS,0.0074772304
cat__neighborhood_REGO PARK,0.007475763
cat__neighborhood_MORRISANIA/LONGWOOD,0.007408027
cat__neighborhood_FLATBUSH-NORTH,0.007195775
cat__neighborhood_DYKER HEIGHTS,0.007156085
cat__neighborhood_MARINE PARK,0.0071046334
cat__neighborhood_ST. ALBANS,0.0067538354
cat__neighborhood_FLATBUSH-EAST,0.0066379313
cat__neighborhood_MADISON,0.0065617976
cat__neighborhood_STAPLETON-CLIFTON,0.006445882
cat__neighborhood_SPRINGFIELD GARDENS,0.0064286627
cat__neighborhood_MILL BASIN,0.0062789093
cat__neighborhood_BAYCHESTER,0.00614736
cat__neighborhood_CITY ISLAND,0.0059625534
cat__neighborhood_SO. JAMAICA-BAISLEY PARK,0.005929517
cat__neighborhood_OCEAN PARKWAY-SOUTH,0.005910011
cat__neighborhood_RICHMOND HILL,0.005711654
cat__neighborhood_BAY RIDGE,0.005601886
cat__neighborhood_ROSEDALE,0.0055963346
cat__neighborhood_SOUNDVIEW,0.0055951723
cat__neighborhood_GRAVESEND,0.0054731383
cat__neighborhood_JAMAICA ESTATES,0.0053646346
cat__neighborhood_BRIARWOOD,0.005326499
cat__neighborhood_COLLEGE POINT,0.0053101634
cat__neighborhood_SOUTH BEACH,0.0052894056
cat__neighborhood_EMERSON HILL,0.0052563893
cat__neighborhood_WHITESTONE,0.005227937
cat__neighborhood_ASTORIA,0.0051253773
cat__neighborhood_NEW BRIGHTON,0.0050883014
cat__neighborhood_BROWNSVILLE,0.0050283796
cat__neighborhood_CASTLE HILL/UNIONPORT,0.0050219046
cat__neighborhood_BEDFORD PARK/NORWOOD,0.0049846936
cat__neighborhood_NEW SPRINGVILLE,0.004946339
cat__neighborhood_MASPETH,0.004923077
cat__neighborhood_NEW DORP-BEACH,0.004863573
cat__neighborhood_EAST NEW YORK,0.004795863
cat__neighborhood_NEW DORP-HEIGHTS,0.0047492273
cat__neighborhood_HUGUENOT,0.004741205
cat__neighborhood_LAURELTON,0.004691491
cat__neighborhood_HOLLISWOOD,0.0046659126
cat__neighborhood_SOUTH OZONE PARK,0.0045842845
cat__neighborhood_BRONXDALE,0.00457521
cat__neighborhood_MANOR HEIGHTS,0.0045570517
cat__neighborhood_SOUTH JAMAICA,0.004548782
cat__neighborhood_LITTLE NECK,0.004475225
cat__neighborhood_TRAVIS,0.004380078
cat__neighborhood_PARK SLOPE SOUTH,0.0043758666
cat__neighborhood_WEST NEW BRIGHTON,0.0043392703
cat__neighborhood_WILLIAMSBRIDGE,0.0042516273
cat__neighborhood_SUNSET PARK,0.0042012795
cat__neighborhood_BULLS HEAD,0.0039808825
cat__neighborhood_OLD MILL BASIN,0.0039717443
cat__neighborhood_OCEAN PARKWAY-NORTH,0.0039563137
cat__neighborhood_CROWN HEIGHTS,0.003857275
cat__neighborhood_CYPRESS HILLS,0.003844533
cat__neighborhood_SCHUYLERVILLE/PELHAM BAY,0.003787186
cat__neighborhood_NEPONSIT,0.0037798735
cat__neighborhood_DONGAN HILLS,0.0037562468
cat__neighborhood_LIVINGSTON,0.0037491403
cat__neighborhood_GERRITSEN BEACH,0.0037216912
cat__neighborhood_SILVER LAKE,0.003721504
cat__neighborhood_DOUGLASTON,0.0036952314
cat__neighborhood_BEECHHURST,0.0036937718
cat__neighborhood_FRESH MEADOWS,0.0036619557
cat__neighborhood_GRYMES HILL,0.0036438976
cat__neighborhood_BROAD CHANNEL,0.0036296044
cat__neighborhood_ROSEBANK,0.0035592678
cat__neighborhood_CONCORD,0.0035457641
cat__neighborhood_MIDWOOD,0.0035310497
cat__neighborhood_WILLOWBROOK,0.0035044805
cat__neighborhood_MIDDLE VILLAGE,0.003490832
cat__neighborhood_MIDLAND BEACH,0.0034702108
cat__neighborhood_HIGHBRIDGE/MORRIS HEIGHTS,0.003438148
cat__neighborhood_GREAT KILLS,0.0034134802
cat__neighborhood_ARVERNE,0.0033938154
cat__neighborhood_BAYSIDE,0.0033829375
cat__neighborhood_JACKSON HEIGHTS,0.0033827696
cat__neighborhood_ARDEN HEIGHTS,0.003379204
cat__neighborhood_ELTINGVILLE,0.0033786143
cat__neighborhood_BEDFORD STUYVESANT,0.0033629157
cat__neighborhood_WESTCHESTER,0.0033447808
cat__neighborhood_GLENDALE,0.003312441
cat__neighborhood_BATH BEACH,0.0032593515
cat__neighborhood_WOODSIDE,0.0032154727
cat__neighborhood_PORT RICHMOND,0.0031794026
cat__neighborhood_ANNADALE,0.0031542156
cat__neighborhood_BENSONHURST,0.0030835308
cat__neighborhood_GRANT CITY,0.003025058
cat__neighborhood_CASTLETON CORNERS,0.002905943
cat__neighborhood_FLATBUSH-LEFFERTS GARDEN,0.0028800054
cat__neighborhood_KEW GARDENS,0.0028687972
cat__neighborhood_OCEAN HILL,0.0028571386
cat__neighborhood_OZONE PARK,0.0028163707
cat__neighborhood_RIDGEWOOD,0.0027837476
