feature,importance
num__neighborhood_median_price,0.121495634
cat__neighborhood_CLINTON,0.06775842
cat__building_class_08 RENTALS - ELEVATOR APARTMENTS,0.050218657
cat__borough_1,0.042249516
cat__neighborhood_EAST VILLAGE,0.04058064
num__residential_units,0.037979364
cat__neighborhood_BUSHWICK,0.03650973
cat__building_class_07 RENTALS - WALKUP APARTMENTS,0.031726398
num__gross_sqft,0.026990475
num__longitude,0.026160434
num__total_units,0.024926636
num__year_built,0.023895008
cat__neighborhood_WASHINGTON HEIGHTS LOWER,0.02342824
num__latitude,0.022345683
cat__neighborhood_HARLEM-EAST,0.022148626
cat__borough_4,0.01946772
cat__neighborhood_LOWER EAST SIDE,0.019286754
num__land_sqft,0.018758174
num__property_age,0.017218156
cat__neighborhood_MELROSE/CONCOURSE,0.016635565
cat__neighborhood_BEDFORD STUYVESANT,0.016029583
cat__neighborhood_HARLEM-CENTRAL,0.015422756
cat__borough_2,0.015060212
cat__borough_3,0.014865196
cat__neighborhood_CHELSEA,0.014273888
cat__neighborhood_ALPHABET CITY,0.013589298
cat__neighborhood_HARLEM-UPPER,0.01211154
cat__neighborhood_WILLIAMSBRIDGE,0.011501487
cat__neighborhood_BENSONHURST,0.011470019
cat__neighborhood_FLATBUSH-NORTH,0.011291306
cat__neighborhood_MOTT HAVEN/PORT MORRIS,0.011179641
cat__neighborhood_BOERUM HILL,0.0104156695
cat__neighborhood_CROWN HEIGHTS,0.010204779
cat__neighborhood_UPPER WEST SIDE (79-96),0.008995839
cat__neighborhood_FLATBUSH-EAST,0.00878923
cat__neighborhood_HIGHBRIDGE/MORRIS HEIGHTS,0.008744578
cat__neighborhood_UPPER EAST SIDE (59-79),0.007719996
cat__neighborhood_GREENPOINT,0.007266792
cat__neighborhood_PARK SLOPE,0.0064979685
cat__neighborhood_OCEAN HILL,0.0060649314
cat__neighborhood_INWOOD,0.0057923766
cat__neighborhood_MORRISANIA/LONGWOOD,0.005724309
cat__neighborhood_MIDTOWN WEST,0.005522883
cat__neighborhood_WILLIAMSBURG-EAST,0.0054445504
cat__neighborhood_BEDFORD PARK/NORWOOD,0.005311927
cat__neighborhood_LONG ISLAND CITY,0.005117354
cat__neighborhood_GREENWICH VILLAGE-CENTRAL,0.005027391
cat__neighborhood_CARROLL GARDENS,0.0049878242
cat__neighborhood_UPPER EAST SIDE (79-96),0.0042877807
cat__neighborhood_CLINTON HILL,0.0035894068
cat__neighborhood_MARINE PARK,0.0035748237
cat__neighborhood_SUNSET PARK,0.003287876
cat__neighborhood_FLATBUSH-CENTRAL,0.0031941042
cat__neighborhood_BOROUGH PARK,0.0030625144
cat__neighborhood_RICHMOND HILL,0.0030532745
cat__neighborhood_UPPER WEST SIDE (59-79),0.0029783996
cat__neighborhood_MURRAY HILL,0.0027958085
cat__neighborhood_PARK SLOPE SOUTH,0.0027802642
cat__neighborhood_PROSPECT HEIGHTS,0.002556404
cat__neighborhood_BAY RIDGE,0.002525897
cat__neighborhood_TRIBECA,0.002321148
cat__neighborhood_KEW GARDENS,0.0023159727
cat__neighborhood_GRAMERCY,0.0019217789
cat__neighborhood_WASHINGTON HEIGHTS UPPER,0.0010683954
cat__neighborhood_KINGSBRIDGE HTS/UNIV HTS,0.00048300863
cat__neighborhood_OAKWOOD,0.0
cat__neighborhood_RED HOOK,0.0
cat__neighborhood_NAVY YARD,0.0
cat__neighborhood_RIDGEWOOD,0.0
cat__neighborhood_NEW BRIGHTON,0.0
cat__neighborhood_NEW DORP,0.0
cat__neighborhood_REGO PARK,0.0
cat__neighborhood_OCEAN PARKWAY-NORTH,0.0
cat__neighborhood_PARKCHESTER,0.0
cat__neighborhood_MOUNT HOPE/MOUNT EDEN,0.0
cat__neighborhood_PORT IVORY,0.0
cat__neighborhood_RIVERDALE,0.0
cat__neighborhood_PELHAM PARKWAY SOUTH,0.0
cat__neighborhood_MORRIS PARK/VAN NEST,0.0
